CSC 172|CSC 171
CSC 173|CSC 172
CSC 210|CSC 172
CSC 211|CSC 172
CSC 214|CSC 172
CSC 229|CSC 161
CSC 240|CSC 171,CSC 172
CSC 242|CSC 172
CSC 248|CSC 172
CSC 249|CSC 242
CSC 252|CSC 172
CSC 253|CSC 173,CSC 252
CSC 254|CSC 173,CSC 252
CSC 256|CSC 252
CSC 257|CSC 252
CSC 261|CSC 172
CSC 280|CSC 173
CSC 282|CSC 172
CSC 449|CSC 242
CSC 453|CSC 252,CSC 254
CSC 454|CSC 173,CSC 252
CSC 480|CSC 173
CSC 482|CSC 172
CSC 575|CSC 242,CSC 246
CSC 576|CSC 461
CSC 174|CSC 170
CSC 212|CSC 172,CSC 242
CSC 247|CSC 242
CSC 255|CSC 254
CSC 258|CSC 252,(CSC 254,CSC 256)
CSC 263|CSC 173,(CSC 252,CSC 261)
CSC 278|CSC 252
CSC 286|CSC 280
CSC 291|CSC 173,(CSC 240,CSC 242,CSC 280,CSC 282)
CSC 447|CSC 242
CSC 486|CSC 280
